Nr,Name,Definition,Elaboration,Instructions
22,Enumeration,Enumerate sets explicitly instead of using a group noun to name the set.,"If a number of functions are implied, a need statement or requirement statement should be written for each.
The use of a group noun to combine functions or entities is often ambiguous because it leaves membership of that group in doubt. 
Other issues include allocation, traceability, verification, and validation. As with the singularity characteristic C5, each member of the set could be allocated differently, have different child requirements, each of which must be individually verified and validated.
It is almost always best to list all the members of the set as separate needs or requirements. See exceptions and relationship discussion below.
See also R18.",
23,"Support Diagram, Model or ICD","When a need or requirement is related to complex behavior, refer to a supporting diagram, model, or ICD.","Sometimes it can be difficult to express a complicated need or requirement in words, and it is better simply to refer to a supporting diagram or model. 
An example is a requirement on voltage at turn on which involves a magnitude, rise time, overshoot, and dampening time along with tolerances. Stating all these values in the same requirement could be seen to violate our combiner and multiple thought rules.
Having a requirement that states: “Upon turn on, the <SOI> shall supply the initial voltage with the characteristics shown in Drawing xxxxx.” It is much simpler for the drawing to show the magnitude, rise time, allowable overshoot, and dampening time. Stating each as a separate requirement is not applicable because all four conditions are part of the one action.
This approach may seem to violate the singularity rule in that the SOI will need to be verified against each value in the drawing or figure. Because of this, an organization may choose to address each value in a separate requirement with the requirement or rationale referring to the diagram or drawing for context.
When multiple characteristics for an entity involved in an interaction between two systems, these characteristics can be defined in an ICD which is referred to within the requirement statement for each entity involved in the interactions, for example electrical power passing across an interface boundary can have multiple characteristics that must be define. (See example below for interfaces).
When using figures and models, care must be taken to not make matters worse but using disparate modelling languages and different terms in figures from those used in the statements.
R36 applies here to ensure consistency in terms, not just across the sets of need and sets of requirements but also across all associated models, figures, and diagrams.",
24,Pronouns,Avoid the use of personal and indefinite pronouns.,"Pronouns are words such as “it”, “this”, “that”, “he”, “she”, “they”, and “them.” 
Repeat nouns in full instead of using pronouns to refer to nouns included in the need statement or requirement statement or other need statements or requirement statements.
When authoring stories, pronouns are a useful device for avoiding the repetition of nouns; but when writing need statements and requirement statements, pronouns are effectively crossreferences to nouns included within the need statement or requirement statement or other need statements or requirement statements and, as such, are ambiguous and should be avoided.
When originally written, the noun that defines the pronoun may have preceded the pronounpreviously used in the need statement or requirement statement or in a previous need statement or requirement statement. 
However, as the set of needs or set of requirements mature, individual needs or requirements may be added, deleted, reordered, or regrouped, such that the defining need or requirement no longer precedes the need or requirement containing the pronoun. This is especially true when requirements are stored in a requirement management tool where they exist as single statements in a database that may not be in order. To avoid these problems, repeat the proper nouns rather than using a pronoun.
Indefinite pronouns are words such as “all”, “another”, “any”, “anybody”, “anything”, “both”, “each”,
“either”, “every”, “everybody”, “everyone”, “everything”, “few”, “many”, “most”, “much”, “neither”,
“no one”, “nobody”, “none”, “one”, “several”, “some”, “somebody”, “someone”, “something”, and 
“such.” 
Indefinite pronouns stand in for unnamed people or things, which makes their meaning subject to interpretation, ambiguous, and unverifiable.
See also R32 and R36",
25,Headings,Avoid relying on headings to support explanation or understanding of the need or requirement.,"It is a common mistake in document-centric documentation of needs and requirements to use the heading for a specific topic or subject under which the need or requirement applies to contribute to the explanation of the need or requirement. The need expression or requirement expression should be complete in and of itself and not require the heading for the intent of the expression to be clearly understood.
Use of a heading can be avoided when using a data-centric approach to SE where sets of needs and requirements are developed and managed using a modern RMT or other SE tool rather than a legacy tool that is document-centric which organizes needs and requirements within sections and paragraphs of a document","The requirement needs to be clear without the need of a supporting heading. 
Flag as ""rewrite"" (red) when the requirement relies on the heading or would be improved when using the heading in the requirement itself."
26,Absolutes,Avoid using unachievable absolutes.,"An absolute, such as “100% availability”, is not achievable. Think ahead to design and system verification and design and system validation: how 100% availability be proven? Even if such a system could be built, could the project afford to validate, or it meets the need or requirement?
Other examples to avoid are “all”, “every”, “always”, and “never” since such absolutes are impossible to verify without an infinite number of verification or validation activities.
A need or requirement that contains absolutes is neither Feasible (C6), Verifiable/Validatable (C7), nor Correct (C8).",
27,Explicit Conditions,State conditions’ applicability explicitly instead of leaving applicability to be inferred from the context.,"Sometimes needs or requirements are only applicable under certain conditions and multiple actions may need to be taken when a given condition exists. In these cases, the condition should be repeated in the text of each need statement or requirement statement, rather than stating the condition and then listing the actions to be taken. This will enable verification of each action occurring when the condition exists and identifying any specific action that fails to occur and resolving that issue specifically.
As presented in R1, and described in more detail in Appendix C, some common applicability conditions include event-driven requirements, state-driven requirements, optional features requirements, or unwanted behavior requirements. Furthermore, some of those applicability conditions can be mixed together ending up into a more complex yet complete structure (mixing a while statement to refer to a given state, and when statement to refer to a trigger is common in many system requirements).
If a condition that applies to a need or requirement is not stated explicitly within the need or requirement statement, the need or requirement statement is not Complete (C4), Verifiable/Validatable (C7), nor Correct (C8) unless the condition clause is included.
Needs are communicated at a higher level of abstraction, often concerning an overall capability of the system, as such they can be ubiquitous at this level of abstraction and are often stated without any specific conditions. However, if a specific condition is applicable, it should be included within the need statement to ensure the intent clear.
See also R1, R11, R18 and Appendix C.",
28,Multiple Conditions,Express the propositional nature of a condition explicitly for a single action instead of giving lists of actions for a specific condition.,"Sometimes a given action is to be performed based on the existence of multiple conditions or a combination of one or more conditions. When multiple conditions are listed for a single action in a single requirement statement, it may not be clear whether all the conditions must hold (a conjunction) or any one of them (a disjunction) for the action to take place.
The wording of the requirement should make this clear in order to avoid ambiguity but also to facilitate verification the system performs each of the individual actions as specified.
When the combination of multiple conditions that trigger an action is complex, consideration should be given to the use of a diagram or table (see R23).
Needs are communicated at a higher level of abstraction often concerning an overall capability of the system, as such they are ubiquitous at this level of abstraction and are often stated without any specific conditions.",
29,Classification,Classify needs and requirements according to the aspects of the problem or system it addresses.,"By classifying needs or requirements by type or category, it is possible to group or sort requirements to help identify potential duplications and conflicts within a given type or category. 
The ability to view specific groups of needs or requirements can also assist in identifying what needs or requirements may be missing helping to address the characteristic of completeness (C10) as associated with the set of needs or set of requirements.
It is useful to assign to each need statement and requirement statement an attribute associated with its type or category. (See NRM for more guidance on organizing needs and requirements and the use of Attribute A 40 - type/category). 
Examples of types or categories of needs and requirements include form, fit, function/performance, quality (-ilities), and compliance (standards and regulations). These can be further grouped in to sub types or categories. Refer to the NRM Sections 4 and 6 for a detailed discussion concerning organizing needs and requirements.
The type/category attribute is most useful because it allows the needs and requirements database to be viewed by a number of designers and stakeholders for a wide range of users. For example, maintainers could review the database filtering out all but the maintenance requirements, engineers developing test plans could filter and extract all verification requirements, and so on. To that end then, the organization would choose types or categories that are useful for the management of their need or requirement set tailored to their specific product line and processes. As discussed in the NRM, the use of attributes allows reports to be generated for all needs or requirements of a certain type or category, allowing the identification of dependencies, duplication, conflicts, or absence of requirements.
Each different type might be related to one or a few different patterns in the catalog of agreed patterns.
The classification used for needs and requirements is defined at organization or project level. The classification schema should be defined as part of the project data dictionary. 
How an organization organizes needs and requirements should be clearly defined in the organization’s process documents and associated templates for organizing sets of needs and requirements. 
Examples:
Example classifications: Functional, Performance, Operational, Reliability, Availability, Maintainability, S",
30,Unique Expression,,,
31,Solution Free,,,
32,Universal Qualification,,,
33,Range of Values,,,
34,Measurable Performance,,,
35,Temporal Dependencies,,,
36,Consistent Terms and Units,,,
37,Acronyms,,,
38,Abbreviations,,,
39,Style Guide,,,
40,Decimal Format,,,
41,Related Needs & Requirements,,,
42,Structured Set,,,
